,commodity,region,technology,year,supply
0,electricity,Kenya,Biomass Power Plant,2040,2.72580000000
1,electricity,Kenya,Biomass Power Plant,2045,1.90810000000
2,electricity,Kenya,Gas Power Plant (CCGT),2040,408.63050000000
3,electricity,Kenya,Gas Power Plant (CCGT),2045,408.63050000000
4,electricity,Kenya,Geothermal Power Plant,2040,20.05070000000
5,electricity,Kenya,Geothermal Power Plant,2045,14.03550000000
6,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,14.48830000000
7,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2045,10.14180000000
8,electricity,Kenya,Light Fuel Oil Power Plant,2040,13.93210000000
9,electricity,Kenya,Light Fuel Oil Power Plant,2045,9.75250000000
10,electricity,Kenya,Medium Hydropower Plant (10-100MW),2040,7.22380000000
11,electricity,Kenya,Medium Hydropower Plant (10-100MW),2045,5.05670000000
12,electricity,Kenya,Oil Fired Gas Turbine (SCGT),2040,21.66140000000
13,electricity,Kenya,Oil Fired Gas Turbine (SCGT),2045,15.16300000000
14,electricity,Kenya,Onshore Wind,2040,3.70250000000
15,electricity,Kenya,Onshore Wind,2045,2.59170000000
16,electricity,Kenya,Solar PV (Distributed with Storage),2040,0.42290000000
17,electricity,Kenya,Solar PV (Distributed with Storage),2045,0.29600000000
18,electricity,Kenya,Solar PV (Utility),2040,0.22990000000
19,electricity,Kenya,Solar PV (Utility),2045,0.16090000000
20,electricity,Kenya,Gas Power Plant (CCGT),2040,252.32590000000
21,electricity,Kenya,Gas Power Plant (CCGT),2045,252.32590000000
22,electricity,Kenya,Coal Power Plant,2040,378.77060000000
23,electricity,Kenya,Coal Power Plant,2045,378.77060000000
24,electricity,Kenya,Gas Power Plant (CCGT),2040,73.23850000000
25,electricity,Kenya,Gas Power Plant (CCGT),2045,73.23850000000
26,electricity,Kenya,Coal Power Plant,2040,355.15240000000
27,electricity,Kenya,Coal Power Plant,2045,355.15240000000
28,electricity,Kenya,Gas Power Plant (CCGT),2040,43.82710000000
29,electricity,Kenya,Gas Power Plant (CCGT),2045,43.82710000000
30,electricity,Kenya,Coal Power Plant,2045,353.26820000000
31,electricity,Kenya,Gas Power Plant (CCGT),2045,310.99490000000
