ProcessName,Time,UtilizationFactor,day,season,MinimumServiceFactor,RegionName,ObjSort
Biomass Power Plant,2015,0.5,night,winter,0,Sudan,Upper
Biomass Power Plant,2015,0.5,day,winter,0,Sudan,Upper
Biomass Power Plant,2015,0.5,night,spring,0,Sudan,Upper
Biomass Power Plant,2015,0.5,day,spring,0,Sudan,Upper
Biomass Power Plant,2015,0.5,night,summer,0,Sudan,Upper
Biomass Power Plant,2015,0.5,day,summer,0,Sudan,Upper
Biomass Power Plant,2015,0.5,night,autumn,0,Sudan,Upper
Biomass Power Plant,2015,0.5,day,autumn,0,Sudan,Upper
Biomass Power Plant,2020,0.5,night,winter,0,Sudan,Upper
Biomass Power Plant,2020,0.5,day,winter,0,Sudan,Upper
Biomass Power Plant,2020,0.5,night,spring,0,Sudan,Upper
Biomass Power Plant,2020,0.5,day,spring,0,Sudan,Upper
Biomass Power Plant,2020,0.5,night,summer,0,Sudan,Upper
Biomass Power Plant,2020,0.5,day,summer,0,Sudan,Upper
Biomass Power Plant,2020,0.5,night,autumn,0,Sudan,Upper
Biomass Power Plant,2020,0.5,day,autumn,0,Sudan,Upper
Biomass Power Plant,2025,0.5,night,winter,0,Sudan,Upper
Biomass Power Plant,2025,0.5,day,winter,0,Sudan,Upper
Biomass Power Plant,2025,0.5,night,spring,0,Sudan,Upper
Biomass Power Plant,2025,0.5,day,spring,0,Sudan,Upper
Biomass Power Plant,2025,0.5,night,summer,0,Sudan,Upper
Biomass Power Plant,2025,0.5,day,summer,0,Sudan,Upper
Biomass Power Plant,2025,0.5,night,autumn,0,Sudan,Upper
Biomass Power Plant,2025,0.5,day,autumn,0,Sudan,Upper
Biomass Power Plant,2030,0.5,night,winter,0,Sudan,Upper
Biomass Power Plant,2030,0.5,day,winter,0,Sudan,Upper
Biomass Power Plant,2030,0.5,night,spring,0,Sudan,Upper
Biomass Power Plant,2030,0.5,day,spring,0,Sudan,Upper
Biomass Power Plant,2030,0.5,night,summer,0,Sudan,Upper
Biomass Power Plant,2030,0.5,day,summer,0,Sudan,Upper
Biomass Power Plant,2030,0.5,night,autumn,0,Sudan,Upper
Biomass Power Plant,2030,0.5,day,autumn,0,Sudan,Upper
Biomass Power Plant,2040,0.5,night,winter,0,Sudan,Upper
Biomass Power Plant,2040,0.5,day,winter,0,Sudan,Upper
Biomass Power Plant,2040,0.5,night,spring,0,Sudan,Upper
Biomass Power Plant,2040,0.5,day,spring,0,Sudan,Upper
Biomass Power Plant,2040,0.5,night,summer,0,Sudan,Upper
Biomass Power Plant,2040,0.5,day,summer,0,Sudan,Upper
Biomass Power Plant,2040,0.5,night,autumn,0,Sudan,Upper
Biomass Power Plant,2040,0.5,day,autumn,0,Sudan,Upper
Biomass Power Plant,2050,0.5,night,winter,0,Sudan,Upper
Biomass Power Plant,2050,0.5,day,winter,0,Sudan,Upper
Biomass Power Plant,2050,0.5,night,spring,0,Sudan,Upper
Biomass Power Plant,2050,0.5,day,spring,0,Sudan,Upper
Biomass Power Plant,2050,0.5,night,summer,0,Sudan,Upper
Biomass Power Plant,2050,0.5,day,summer,0,Sudan,Upper
Biomass Power Plant,2050,0.5,night,autumn,0,Sudan,Upper
Biomass Power Plant,2050,0.5,day,autumn,0,Sudan,Upper
CSP with Storage,2015,0.45,night,winter,0,Sudan,Upper
CSP with Storage,2015,0.45,day,winter,0,Sudan,Upper
CSP with Storage,2015,0.45,night,spring,0,Sudan,Upper
CSP with Storage,2015,0.45,day,spring,0,Sudan,Upper
CSP with Storage,2015,0.45,night,summer,0,Sudan,Upper
CSP with Storage,2015,0.45,day,summer,0,Sudan,Upper
CSP with Storage,2015,0.45,night,autumn,0,Sudan,Upper
CSP with Storage,2015,0.45,day,autumn,0,Sudan,Upper
CSP with Storage,2020,0.45,night,winter,0,Sudan,Upper
CSP with Storage,2020,0.45,day,winter,0,Sudan,Upper
CSP with Storage,2020,0.45,night,spring,0,Sudan,Upper
CSP with Storage,2020,0.45,day,spring,0,Sudan,Upper
CSP with Storage,2020,0.45,night,summer,0,Sudan,Upper
CSP with Storage,2020,0.45,day,summer,0,Sudan,Upper
