ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Biomass Power Plant,Kenya,2020,fixed,79.27447996,1,2.378234399,1,3.17E-06,1,0,0,0,30,0.5,1,35,0.089,energy,biomass,electricity,1
CSP with Storage,Kenya,2020,fixed,183.8216641,1,1.838216641,1,3.17E-06,1,0,0,0,30,0.45,1,100,0.089,energy,solar,electricity,1
CSP without Storage,Kenya,2020,fixed,128.6783359,1,1.286783359,1,3.17E-06,1,0,0,0,30,0.45,1,100,0.089,energy,solar,electricity,1
Coal Power Plant,Kenya,2020,fixed,79.27447996,1,2.473363775,1,3.17E-06,1,10,5,10000,35,0.85,1,37,0.089,energy,coal,electricity,1
Gas Power Plant (CCGT),Kenya,2020,fixed,38.05175038,1,1.109842719,1,3.17E-06,1,10,5,10000,30,0.85,1,48,0.089,energy,gas,electricity,1
Gas Power Plant (SCGT),Kenya,2020,fixed,22.19685439,1,0.63419584,1,3.17E-06,1,10,5,10000,25,0.85,1,30,0.089,energy,gas,electricity,1
Geothermal Power Plant,Kenya,2020,fixed,126.8391679,1,3.805175038,1,3.17E-06,1,0,0,0,25,0.79,1,80,0.089,energy,geothermal,electricity,1
Large Hydropower Plant (Dam) (>100MW),Kenya,2020,fixed,95.12937595,1,2.853881279,1,3.17E-06,1,0,0,0,50,0.48,100,100,0.089,energy,hydro,electricity,1
Light Fuel Oil Power Plant,Kenya,2020,fixed,38.05175038,1,1.109842719,1,3.17E-06,1,10,5,10000,25,0.8,1,35,0.089,energy,LFO,electricity,1
Light Fuel Oil Standalone Generator (1kW),Kenya,2020,fixed,23.78234399,1,0.729325216,1,3.17E-06,1,10,5,10000,10,0.3,0.001,16,0.089,energy,LFO,electricity,1
Medium Hydropower Plant (10-100MW),Kenya,2020,fixed,79.27447996,1,2.378234399,1,3.17E-06,1,0,0,0,50,0.48,10,100,0.089,energy,hydro,electricity,1
Nuclear Power Plant,Kenya,2020,fixed,194.6029934,1,5.838089802,1,3.17E-06,1,0,0,0,50,0.85,1,33,0.089,energy,uranium,electricity,1
Offshore Wind,Kenya,2020,fixed,125.9639777,1,5.038559107,1,3.17E-06,1,0,0,0,25,0.45,1,100,0.089,energy,wind,electricity,1
Oil Fired Gas Turbine (SCGT),Kenya,2020,fixed,45.97919838,1,1.426940639,1,3.17E-06,1,10,5,10000,25,0.8,1,35,0.089,energy,HFO,electricity,1
Onshore Wind,Kenya,2020,fixed,47.21588026,1,1.888635211,1,3.17E-06,1,0,0,0,25,0.21,1,100,0.089,energy,wind,electricity,1
Small Hydropower Plant (<10MW),Kenya,2020,fixed,95.12937595,1,2.853881279,1,3.17E-06,1,0,0,0,50,0.48,10,100,0.089,energy,hydro,electricity,1
Solar PV (Distributed with Storage),Kenya,2020,fixed,136.9863014,1,2.739726027,1,3.17E-06,1,0,0,0,24,0.32,1,100,0.089,energy,solar,electricity,1
Solar PV (Utility),Kenya,2020,fixed,43.69609335,1,0.568049214,1,3.17E-06,1,0,0,0,24,0.32,1,100,0.089,energy,solar,electricity,1
Biomass Power Plant,Kenya,2015,fixed,79.27447996,1,2.378234399,1,3.17E-06,1,0,0,0,30,0.5,1,35,0.089,energy,biomass,electricity,1
Biomass Power Plant,Kenya,2025,fixed,79.27447996,1,2.378234399,1,3.17E-06,1,0,0,0,30,0.5,1,35,0.089,energy,biomass,electricity,1
Biomass Power Plant,Kenya,2030,fixed,79.27447996,1,2.378234399,1,3.17E-06,1,0,0,0,30,0.5,1,35,0.089,energy,biomass,electricity,1
Biomass Power Plant,Kenya,2040,fixed,79.27447996,1,2.378234399,1,3.17E-06,1,0,0,0,30,0.5,1,35,0.089,energy,biomass,electricity,1
