ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Solar PV (Utility),Namibia,2020,fixed,1378000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
Biomass Power Plant,Namibia,2015,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,electricity,1.0
Biomass Power Plant,Namibia,2025,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,electricity,1.0
Biomass Power Plant,Namibia,2030,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,electricity,1.0
Biomass Power Plant,Namibia,2040,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,electricity,1.0
Biomass Power Plant,Namibia,2050,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,electricity,1.0
CSP with Storage,Namibia,2015,fixed,8645000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP with Storage,Namibia,2025,fixed,4670000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP with Storage,Namibia,2030,fixed,3763000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP with Storage,Namibia,2040,fixed,3660000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP with Storage,Namibia,2050,fixed,3660000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP without Storage,Namibia,2015,fixed,6051000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP without Storage,Namibia,2025,fixed,3269000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP without Storage,Namibia,2030,fixed,2634000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP without Storage,Namibia,2040,fixed,2562000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP without Storage,Namibia,2050,fixed,2562000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
Coal Power Plant,Namibia,2015,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,electricity,1.0
Coal Power Plant,Namibia,2025,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,electricity,1.0
Coal Power Plant,Namibia,2030,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,electricity,1.0
Coal Power Plant,Namibia,2040,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,electricity,1.0
Coal Power Plant,Namibia,2050,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,electricity,1.0
Gas Power Plant (CCGT),Namibia,2015,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,electricity,1.0
Gas Power Plant (CCGT),Namibia,2025,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,electricity,1.0
Gas Power Plant (CCGT),Namibia,2030,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,electricity,1.0
Gas Power Plant (CCGT),Namibia,2040,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,electricity,1.0
Gas Power Plant (CCGT),Namibia,2050,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Namibia,2015,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Namibia,2025,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Namibia,2030,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Namibia,2040,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Namibia,2050,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,electricity,1.0
Geothermal Power Plant,Namibia,2015,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,electricity,1.0
Geothermal Power Plant,Namibia,2025,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,electricity,1.0
Geothermal Power Plant,Namibia,2030,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,electricity,1.0
Geothermal Power Plant,Namibia,2040,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,electricity,1.0
Geothermal Power Plant,Namibia,2050,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Namibia,2015,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,100.0,1.0,0.1,energy,hydro,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Namibia,2025,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,100.0,1.0,0.1,energy,hydro,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Namibia,2030,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,100.0,1.0,0.1,energy,hydro,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Namibia,2040,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,100.0,1.0,0.1,energy,hydro,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Namibia,2050,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,100.0,1.0,0.1,energy,hydro,electricity,1.0
Light Fuel Oil Power Plant,Namibia,2015,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Power Plant,Namibia,2025,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Power Plant,Namibia,2030,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Power Plant,Namibia,2040,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Power Plant,Namibia,2050,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Namibia,2015,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Namibia,2025,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Namibia,2030,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Namibia,2040,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Namibia,2050,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,LFO,electricity,1.0
Medium Hydropower Plant (10-100MW),Namibia,2015,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Medium Hydropower Plant (10-100MW),Namibia,2025,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Medium Hydropower Plant (10-100MW),Namibia,2030,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Medium Hydropower Plant (10-100MW),Namibia,2040,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Medium Hydropower Plant (10-100MW),Namibia,2050,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Nuclear Power Plant,Namibia,2015,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,electricity,1.0
Nuclear Power Plant,Namibia,2025,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,electricity,1.0
Nuclear Power Plant,Namibia,2030,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,electricity,1.0
Nuclear Power Plant,Namibia,2040,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,electricity,1.0
Nuclear Power Plant,Namibia,2050,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,electricity,1.0
Offshore Wind,Namibia,2015,fixed,5000000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,electricity,1.0
Offshore Wind,Namibia,2025,fixed,3020900.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,electricity,1.0
Offshore Wind,Namibia,2030,fixed,2450000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,electricity,1.0
Offshore Wind,Namibia,2040,fixed,2275000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,electricity,1.0
Offshore Wind,Namibia,2050,fixed,2100000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,electricity,1.0
Oil Fired Gas Turbine (SCGT),Namibia,2015,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,HFO,electricity,1.0
Oil Fired Gas Turbine (SCGT),Namibia,2025,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,HFO,electricity,1.0
Oil Fired Gas Turbine (SCGT),Namibia,2030,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,HFO,electricity,1.0
Oil Fired Gas Turbine (SCGT),Namibia,2040,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,HFO,electricity,1.0
Oil Fired Gas Turbine (SCGT),Namibia,2050,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,HFO,electricity,1.0
Onshore Wind,Namibia,2015,fixed,1985000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.15,1.0,1.0,0.1,energy,wind,electricity,1.0
Onshore Wind,Namibia,2025,fixed,1191000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.15,1.0,1.0,0.1,energy,wind,electricity,1.0
Onshore Wind,Namibia,2030,fixed,1087000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.15,1.0,1.0,0.1,energy,wind,electricity,1.0
Onshore Wind,Namibia,2040,fixed,933000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.15,1.0,1.0,0.1,energy,wind,electricity,1.0
Onshore Wind,Namibia,2050,fixed,933000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.15,1.0,1.0,0.1,energy,wind,electricity,1.0
Small Hydropower Plant (<10MW),Namibia,2015,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Small Hydropower Plant (<10MW),Namibia,2025,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Small Hydropower Plant (<10MW),Namibia,2030,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Small Hydropower Plant (<10MW),Namibia,2040,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Small Hydropower Plant (<10MW),Namibia,2050,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Solar PV (Distributed with Storage),Namibia,2015,fixed,6840000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
Solar PV (Distributed with Storage),Namibia,2025,fixed,3415000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
Solar PV (Distributed with Storage),Namibia,2030,fixed,2700000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
Solar PV (Distributed with Storage),Namibia,2040,fixed,2091000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
Solar PV (Distributed with Storage),Namibia,2050,fixed,2091000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Namibia,2015,fixed,2165000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Namibia,2025,fixed,984000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Namibia,2030,fixed,886000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Namibia,2040,fixed,723000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Namibia,2050,fixed,723000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
