asset,year,region,technology,installed,capacity
0,2025,Kenya,Biomass Power Plant,2020,1.98680000000
0,2030,Kenya,Biomass Power Plant,2020,1.39070000000
0,2035,Kenya,Biomass Power Plant,2020,0.97350000000
0,2040,Kenya,Biomass Power Plant,2020,0.68150000000
0,2045,Kenya,Biomass Power Plant,2020,0.47700000000
0,2050,Kenya,Biomass Power Plant,2020,0.33390000000
1,2025,Kenya,Gas Power Plant (CCGT),2020,34.09170000000
1,2030,Kenya,Gas Power Plant (CCGT),2020,34.09170000000
1,2035,Kenya,Gas Power Plant (CCGT),2020,34.09170000000
1,2040,Kenya,Gas Power Plant (CCGT),2020,34.09170000000
1,2045,Kenya,Gas Power Plant (CCGT),2020,34.09170000000
1,2050,Kenya,Gas Power Plant (CCGT),2020,34.09170000000
1,2054,Kenya,Gas Power Plant (CCGT),2020,34.09170000000
2,2030,Kenya,Gas Power Plant (CCGT),2025,31.76880000000
2,2035,Kenya,Gas Power Plant (CCGT),2025,31.76880000000
2,2040,Kenya,Gas Power Plant (CCGT),2025,31.76880000000
2,2045,Kenya,Gas Power Plant (CCGT),2025,31.76880000000
2,2050,Kenya,Gas Power Plant (CCGT),2025,31.76880000000
2,2054,Kenya,Gas Power Plant (CCGT),2025,31.76880000000
2,2055,Kenya,Gas Power Plant (CCGT),2025,31.76880000000
2,2059,Kenya,Gas Power Plant (CCGT),2025,31.76880000000
3,2025,Kenya,Geothermal Power Plant,2020,9.24950000000
3,2030,Kenya,Geothermal Power Plant,2020,6.47470000000
3,2035,Kenya,Geothermal Power Plant,2020,4.53230000000
3,2040,Kenya,Geothermal Power Plant,2020,3.17260000000
3,2045,Kenya,Geothermal Power Plant,2020,2.22080000000
3,2050,Kenya,Geothermal Power Plant,2020,1.55460000000
4,2025,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,11.01550000000
4,2030,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,7.71090000000
4,2035,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,5.39760000000
4,2040,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,3.77830000000
4,2045,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,2.64480000000
4,2050,Kenya,Large Hydropower Plant (Dam) (>100MW),2020,1.85140000000
5,2025,Kenya,Light Fuel Oil Power Plant,2020,6.34660000000
5,2030,Kenya,Light Fuel Oil Power Plant,2020,4.44260000000
5,2035,Kenya,Light Fuel Oil Power Plant,2020,3.10980000000
5,2040,Kenya,Light Fuel Oil Power Plant,2020,2.17690000000
5,2045,Kenya,Light Fuel Oil Power Plant,2020,1.52380000000
5,2050,Kenya,Light Fuel Oil Power Plant,2020,1.06670000000
6,2025,Kenya,Medium Hydropower Plant (10-100MW),2020,5.49230000000
6,2030,Kenya,Medium Hydropower Plant (10-100MW),2020,3.84460000000
6,2035,Kenya,Medium Hydropower Plant (10-100MW),2020,2.69120000000
6,2040,Kenya,Medium Hydropower Plant (10-100MW),2020,1.88390000000
6,2045,Kenya,Medium Hydropower Plant (10-100MW),2020,1.31870000000
6,2050,Kenya,Medium Hydropower Plant (10-100MW),2020,0.92310000000
7,2025,Kenya,Oil Fired Gas Turbine (SCGT),2020,9.86760000000
7,2030,Kenya,Oil Fired Gas Turbine (SCGT),2020,6.90730000000
7,2035,Kenya,Oil Fired Gas Turbine (SCGT),2020,4.83510000000
7,2040,Kenya,Oil Fired Gas Turbine (SCGT),2020,3.38460000000
7,2045,Kenya,Oil Fired Gas Turbine (SCGT),2020,2.36920000000
7,2050,Kenya,Oil Fired Gas Turbine (SCGT),2020,1.65840000000
8,2025,Kenya,Onshore Wind,2020,6.84330000000
8,2030,Kenya,Onshore Wind,2020,4.79030000000
8,2035,Kenya,Onshore Wind,2020,3.35320000000
8,2040,Kenya,Onshore Wind,2020,2.34730000000
8,2045,Kenya,Onshore Wind,2020,1.64310000000
8,2050,Kenya,Onshore Wind,2020,1.15020000000
9,2025,Kenya,Solar PV (Distributed with Storage),2020,0.83530000000
9,2030,Kenya,Solar PV (Distributed with Storage),2020,0.58470000000
9,2035,Kenya,Solar PV (Distributed with Storage),2020,0.40930000000
9,2040,Kenya,Solar PV (Distributed with Storage),2020,0.28650000000
9,2045,Kenya,Solar PV (Distributed with Storage),2020,0.20060000000
9,2050,Kenya,Solar PV (Distributed with Storage),2020,0.14040000000
10,2025,Kenya,Solar PV (Utility),2020,0.52980000000
10,2030,Kenya,Solar PV (Utility),2020,0.37090000000
10,2035,Kenya,Solar PV (Utility),2020,0.25960000000
10,2040,Kenya,Solar PV (Utility),2020,0.18170000000
10,2045,Kenya,Solar PV (Utility),2020,0.12720000000
10,2050,Kenya,Solar PV (Utility),2020,0.08900000000
