,commodity,region,technology,year,supply
0,electricity,Kenya,Biomass Power Plant,2040,1.47130000000
1,electricity,Kenya,Biomass Power Plant,2045,0.88280000000
2,electricity,Kenya,Gas Power Plant (CCGT),2040,265.81080000000
3,electricity,Kenya,Gas Power Plant (CCGT),2045,265.81080000000
4,electricity,Kenya,Geothermal Power Plant,2040,10.82290000000
5,electricity,Kenya,Geothermal Power Plant,2045,6.49370000000
6,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2040,7.82040000000
7,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2045,4.69230000000
8,electricity,Kenya,Light Fuel Oil Power Plant,2040,7.52020000000
9,electricity,Kenya,Light Fuel Oil Power Plant,2045,4.51210000000
10,electricity,Kenya,Medium Hydropower Plant (10-100MW),2040,3.89920000000
11,electricity,Kenya,Medium Hydropower Plant (10-100MW),2045,2.33950000000
12,electricity,Kenya,Oil Fired Gas Turbine (SCGT),2040,11.69230000000
13,electricity,Kenya,Oil Fired Gas Turbine (SCGT),2045,7.01540000000
14,electricity,Kenya,Onshore Wind,2040,1.99850000000
15,electricity,Kenya,Onshore Wind,2045,1.19910000000
16,electricity,Kenya,Solar PV (Distributed with Storage),2040,0.22820000000
17,electricity,Kenya,Solar PV (Distributed with Storage),2045,0.13690000000
18,electricity,Kenya,Solar PV (Utility),2040,0.12410000000
19,electricity,Kenya,Solar PV (Utility),2045,0.07450000000
20,electricity,Kenya,Coal Power Plant,2040,223.45620000000
21,electricity,Kenya,Coal Power Plant,2045,223.45620000000
22,electricity,Kenya,Coal Power Plant,2040,372.72340000000
23,electricity,Kenya,Coal Power Plant,2045,372.72340000000
24,electricity,Kenya,Gas Power Plant (CCGT),2040,107.38100000000
25,electricity,Kenya,Gas Power Plant (CCGT),2045,107.38100000000
26,electricity,Kenya,Coal Power Plant,2040,351.20180000000
27,electricity,Kenya,Coal Power Plant,2045,351.20180000000
28,electricity,Kenya,Gas Power Plant (CCGT),2040,67.11200000000
29,electricity,Kenya,Gas Power Plant (CCGT),2045,67.11200000000
30,electricity,Kenya,Coal Power Plant,2045,361.89370000000
31,electricity,Kenya,Gas Power Plant (CCGT),2045,47.51420000000
