ProcessName,RegionName,Time,Level,CO2f,biomass,coal,gas,geothermal,hydro,oil,solar,uranium,wind,electricity
Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
Biomass Power Plant,Chad,2020,fixed,0,1.0,0,0,0,0,0,0,0,0,0
CSP with Storage,Chad,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
CSP without Storage,Chad,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Large Hydropower Plant (Dam) (>100MW),Chad,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Medium Hydropower Plant (10-100MW),Chad,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Offshore Wind,Chad,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Onshore Wind,Chad,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Small Hydropower Plant (<10MW),Chad,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Solar PV (Distributed with Storage),Chad,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Solar PV (Utility),Chad,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
