asset,year,region,installed,technology,capacity
0,2040,Kenya,2020,Biomass Power Plant,0.68150000000
0,2045,Kenya,2020,Biomass Power Plant,0.47700000000
0,2049,Kenya,2020,Biomass Power Plant,0.36250000000
0,2050,Kenya,2020,Biomass Power Plant,0.33390000000
1,2040,Kenya,2020,Geothermal Power Plant,67.82930000000
1,2045,Kenya,2020,Geothermal Power Plant,66.87750000000
1,2049,Kenya,2020,Geothermal Power Plant,66.34450000000
1,2050,Kenya,2020,Geothermal Power Plant,1.55460000000
2,2040,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),3.77830000000
2,2045,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),2.64480000000
2,2049,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),2.01010000000
2,2050,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),1.85140000000
3,2040,Kenya,2020,Light Fuel Oil Power Plant,2.17690000000
3,2045,Kenya,2020,Light Fuel Oil Power Plant,1.52380000000
3,2049,Kenya,2020,Light Fuel Oil Power Plant,1.15810000000
3,2050,Kenya,2020,Light Fuel Oil Power Plant,1.06670000000
4,2040,Kenya,2020,Medium Hydropower Plant (10-100MW),1.88390000000
4,2045,Kenya,2020,Medium Hydropower Plant (10-100MW),1.31870000000
4,2049,Kenya,2020,Medium Hydropower Plant (10-100MW),1.00220000000
4,2050,Kenya,2020,Medium Hydropower Plant (10-100MW),0.92310000000
5,2040,Kenya,2020,Oil Fired Gas Turbine (SCGT),3.38460000000
5,2045,Kenya,2020,Oil Fired Gas Turbine (SCGT),2.36920000000
5,2049,Kenya,2020,Oil Fired Gas Turbine (SCGT),1.80060000000
5,2050,Kenya,2020,Oil Fired Gas Turbine (SCGT),1.65840000000
6,2040,Kenya,2020,Onshore Wind,2.34730000000
6,2045,Kenya,2020,Onshore Wind,1.64310000000
6,2049,Kenya,2020,Onshore Wind,1.24870000000
6,2050,Kenya,2020,Onshore Wind,1.15020000000
7,2040,Kenya,2020,Solar PV (Distributed with Storage),0.28650000000
7,2045,Kenya,2020,Solar PV (Distributed with Storage),0.20060000000
7,2049,Kenya,2020,Solar PV (Distributed with Storage),0.15240000000
7,2050,Kenya,2020,Solar PV (Distributed with Storage),0.14040000000
8,2040,Kenya,2020,Solar PV (Utility),0.18170000000
8,2045,Kenya,2020,Solar PV (Utility),0.12720000000
8,2049,Kenya,2020,Solar PV (Utility),0.09670000000
8,2050,Kenya,2020,Solar PV (Utility),0.08900000000
9,2040,Kenya,2025,Geothermal Power Plant,39.92500000000
9,2045,Kenya,2025,Geothermal Power Plant,39.92500000000
9,2049,Kenya,2025,Geothermal Power Plant,39.92500000000
9,2050,Kenya,2025,Geothermal Power Plant,39.92500000000
9,2054,Kenya,2025,Geothermal Power Plant,39.92500000000
10,2040,Kenya,2030,Biomass Power Plant,27.75480000000
10,2045,Kenya,2030,Biomass Power Plant,27.75480000000
10,2049,Kenya,2030,Biomass Power Plant,27.75480000000
10,2050,Kenya,2030,Biomass Power Plant,27.75480000000
10,2054,Kenya,2030,Biomass Power Plant,27.75480000000
10,2055,Kenya,2030,Biomass Power Plant,27.75480000000
10,2059,Kenya,2030,Biomass Power Plant,27.75480000000
10,2060,Kenya,2030,Biomass Power Plant,27.75480000000
10,2064,Kenya,2030,Biomass Power Plant,27.75480000000
11,2040,Kenya,2030,Geothermal Power Plant,54.60800000000
11,2045,Kenya,2030,Geothermal Power Plant,54.60800000000
11,2049,Kenya,2030,Geothermal Power Plant,54.60800000000
11,2050,Kenya,2030,Geothermal Power Plant,54.60800000000
11,2054,Kenya,2030,Geothermal Power Plant,54.60800000000
11,2055,Kenya,2030,Geothermal Power Plant,54.60800000000
11,2059,Kenya,2030,Geothermal Power Plant,54.60800000000
12,2040,Kenya,2035,Biomass Power Plant,15.63010000000
12,2045,Kenya,2035,Biomass Power Plant,15.63010000000
12,2049,Kenya,2035,Biomass Power Plant,15.63010000000
12,2050,Kenya,2035,Biomass Power Plant,15.63010000000
12,2054,Kenya,2035,Biomass Power Plant,15.63010000000
12,2055,Kenya,2035,Biomass Power Plant,15.63010000000
12,2059,Kenya,2035,Biomass Power Plant,15.63010000000
12,2060,Kenya,2035,Biomass Power Plant,15.63010000000
12,2064,Kenya,2035,Biomass Power Plant,15.63010000000
12,2065,Kenya,2035,Biomass Power Plant,15.63010000000
12,2069,Kenya,2035,Biomass Power Plant,15.63010000000
13,2040,Kenya,2035,Coal Power Plant,1.46470000000
13,2045,Kenya,2035,Coal Power Plant,1.46470000000
13,2049,Kenya,2035,Coal Power Plant,1.46470000000
13,2050,Kenya,2035,Coal Power Plant,1.46470000000
13,2054,Kenya,2035,Coal Power Plant,1.46470000000
13,2055,Kenya,2035,Coal Power Plant,1.46470000000
13,2059,Kenya,2035,Coal Power Plant,1.46470000000
13,2060,Kenya,2035,Coal Power Plant,1.46470000000
13,2064,Kenya,2035,Coal Power Plant,1.46470000000
13,2065,Kenya,2035,Coal Power Plant,1.46470000000
13,2069,Kenya,2035,Coal Power Plant,1.46470000000
13,2070,Kenya,2035,Coal Power Plant,1.46470000000
13,2074,Kenya,2035,Coal Power Plant,1.46470000000
14,2040,Kenya,2035,Geothermal Power Plant,51.73140000000
14,2045,Kenya,2035,Geothermal Power Plant,51.73140000000
14,2049,Kenya,2035,Geothermal Power Plant,51.73140000000
14,2050,Kenya,2035,Geothermal Power Plant,51.73140000000
14,2054,Kenya,2035,Geothermal Power Plant,51.73140000000
14,2055,Kenya,2035,Geothermal Power Plant,51.73140000000
14,2059,Kenya,2035,Geothermal Power Plant,51.73140000000
14,2060,Kenya,2035,Geothermal Power Plant,51.73140000000
14,2064,Kenya,2035,Geothermal Power Plant,51.73140000000
15,2045,Kenya,2040,Biomass Power Plant,12.16630000000
15,2049,Kenya,2040,Biomass Power Plant,12.16630000000
15,2050,Kenya,2040,Biomass Power Plant,12.16630000000
15,2054,Kenya,2040,Biomass Power Plant,12.16630000000
15,2055,Kenya,2040,Biomass Power Plant,12.16630000000
15,2059,Kenya,2040,Biomass Power Plant,12.16630000000
15,2060,Kenya,2040,Biomass Power Plant,12.16630000000
15,2064,Kenya,2040,Biomass Power Plant,12.16630000000
15,2065,Kenya,2040,Biomass Power Plant,12.16630000000
15,2069,Kenya,2040,Biomass Power Plant,12.16630000000
15,2070,Kenya,2040,Biomass Power Plant,12.16630000000
15,2074,Kenya,2040,Biomass Power Plant,12.16630000000
16,2045,Kenya,2040,Coal Power Plant,42.52370000000
16,2049,Kenya,2040,Coal Power Plant,42.52370000000
16,2050,Kenya,2040,Coal Power Plant,42.52370000000
16,2054,Kenya,2040,Coal Power Plant,42.52370000000
16,2055,Kenya,2040,Coal Power Plant,42.52370000000
16,2059,Kenya,2040,Coal Power Plant,42.52370000000
16,2060,Kenya,2040,Coal Power Plant,42.52370000000
16,2064,Kenya,2040,Coal Power Plant,42.52370000000
16,2065,Kenya,2040,Coal Power Plant,42.52370000000
16,2069,Kenya,2040,Coal Power Plant,42.52370000000
16,2070,Kenya,2040,Coal Power Plant,42.52370000000
16,2074,Kenya,2040,Coal Power Plant,42.52370000000
16,2075,Kenya,2040,Coal Power Plant,42.52370000000
16,2079,Kenya,2040,Coal Power Plant,42.52370000000
17,2045,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2049,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2050,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2054,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2055,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2059,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2060,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2064,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2065,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2069,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2070,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
17,2074,Kenya,2040,Gas Power Plant (CCGT),2.01690000000
18,2045,Kenya,2040,Geothermal Power Plant,52.48700000000
18,2049,Kenya,2040,Geothermal Power Plant,52.48700000000
18,2050,Kenya,2040,Geothermal Power Plant,52.48700000000
18,2054,Kenya,2040,Geothermal Power Plant,52.48700000000
18,2055,Kenya,2040,Geothermal Power Plant,52.48700000000
18,2059,Kenya,2040,Geothermal Power Plant,52.48700000000
18,2060,Kenya,2040,Geothermal Power Plant,52.48700000000
18,2064,Kenya,2040,Geothermal Power Plant,52.48700000000
18,2065,Kenya,2040,Geothermal Power Plant,52.48700000000
18,2069,Kenya,2040,Geothermal Power Plant,52.48700000000
