,year,generated,technology,Power Type
0,2020,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
1,2021,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
2,2022,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
3,2023,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
4,2024,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
5,2025,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
6,2026,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
7,2027,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
8,2028,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
9,2029,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
10,2030,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
11,2031,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
12,2032,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
13,2033,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
14,2034,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
15,2035,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
16,2036,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
17,2037,0.106,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
18,2038,0.106,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
19,2039,0.106,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
20,2040,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
21,2041,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
22,2042,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
23,2043,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
24,2044,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
25,2045,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
26,2046,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
27,2047,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
28,2048,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
29,2049,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
30,2050,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
31,2020,0.2488,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
32,2021,0.2488,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
33,2022,0.2488,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
34,2023,0.2488,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
35,2024,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
36,2025,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
37,2026,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
38,2027,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
39,2028,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
40,2029,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
41,2030,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
42,2031,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
43,2032,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
44,2033,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
45,2034,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
46,2035,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
47,2036,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
48,2037,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
49,2038,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
50,2039,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
